# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0
1.91879671e+01 -3.72087207e+02 4.27634782e-01 -1.61595421e+02 5.00000000e+01 1.00000000e-02 7.03238443e-01 -6.63793850e+00
1.47441628e+01 -3.72654341e+02 6.18663665e-01 -1.61841724e+02 5.00000000e+01 1.00000000e-02 6.93462707e-01 -6.52323923e+00
2.02386651e+01 -3.71779587e+02 4.37489234e-01 -1.61461823e+02 5.00000000e+01 1.00000000e-02 6.65810693e-01 -6.53719120e+00
1.80240953e+01 -3.70724321e+02 5.80628254e-01 -1.61003527e+02 5.00000000e+01 1.00000000e-02 7.19121725e-01 -6.62745296e+00
1.95023837e+01 -3.73097811e+02 4.57055573e-01 -1.62034320e+02 5.00000000e+01 1.00000000e-02 6.80100341e-01 -6.57766141e+00
1.73960257e+01 -3.71681793e+02 4.18117347e-01 -1.61419352e+02 5.00000000e+01 1.00000000e-02 6.95676184e-01 -6.51910542e+00
1.94214804e+01 -3.70867458e+02 4.96524233e-01 -1.61065690e+02 5.00000000e+01 1.00000000e-02 7.33868924e-01 -6.55123714e+00
1.88090322e+01 -3.71248523e+02 4.19871661e-01 -1.61231185e+02 5.00000000e+01 1.00000000e-02 6.78309617e-01 -6.47912224e+00
1.89885614e+01 -3.71412638e+02 4.80696795e-01 -1.61302459e+02 5.00000000e+01 1.00000000e-02 7.48287356e-01 -6.59443659e+00
1.72429125e+01 -3.72764817e+02 4.23454532e-01 -1.61889703e+02 5.00000000e+01 1.00000000e-02 6.93819841e-01 -6.64006117e+00
1.74011812e+01 -3.71903667e+02 4.21764419e-01 -1.61515710e+02 5.00000000e+01 1.00000000e-02 7.01057690e-01 -6.58002691e+00
1.93748043e+01 -3.72058059e+02 4.41756060e-01 -1.61582762e+02 5.00000000e+01 1.00000000e-02 6.83850153e-01 -6.54409584e+00
