# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_ecc planet1_omega planet1_ma0
2.98437846e+02 -3.93090102e+02 3.70749507e-01 -1.70716862e+02 1.75000000e+02 1.00000000e-02 8.13431255e-01 -1.05713183e+01 1.53677851e+00 8.98996274e+01 3.52624416e-01 4.34245854e+00 2.80939410e+00
3.15395966e+02 -3.93997238e+02 3.73491722e-01 -1.71110826e+02 1.75000000e+02 1.00000000e-02 8.11740976e-01 -1.05858315e+01 1.53084607e+00 8.98733061e+01 3.52016709e-01 4.35757350e+00 2.79753202e+00
2.95572360e+02 -3.93281530e+02 3.68671730e-01 -1.70799998e+02 1.75000000e+02 1.00000000e-02 8.07409316e-01 -1.05754995e+01 1.53927792e+00 8.99143654e+01 3.51563228e-01 4.35005480e+00 2.80974371e+00
3.02284252e+02 -3.93722174e+02 3.71772169e-01 -1.70991368e+02 1.75000000e+02 1.00000000e-02 8.12426890e-01 -1.05869880e+01 1.53368382e+00 8.98929639e+01 3.54103176e-01 4.35756738e+00 2.80146156e+00
3.12657871e+02 -3.94291187e+02 3.74808089e-01 -1.71238487e+02 1.75000000e+02 1.00000000e-02 8.12001246e-01 -1.05730580e+01 1.53587666e+00 8.98908356e+01 3.51728712e-01 4.35609699e+00 2.80001969e+00
2.90733133e+02 -3.91622217e+02 3.56455469e-01 -1.70079368e+02 1.75000000e+02 1.00000000e-02 8.10237155e-01 -1.05648003e+01 1.53267220e+00 8.98953419e+01 3.51193053e-01 4.35916329e+00 2.79814506e+00
2.99525533e+02 -3.92869603e+02 3.66155377e-01 -1.70621101e+02 1.75000000e+02 1.00000000e-02 8.11857086e-01 -1.05610297e+01 1.53968839e+00 8.98846790e+01 3.52461285e-01 4.34498855e+00 2.81097871e+00
3.08538011e+02 -3.94380439e+02 3.82031741e-01 -1.71277248e+02 1.75000000e+02 1.00000000e-02 8.11537107e-01 -1.05687663e+01 1.53341737e+00 8.98927584e+01 3.54512448e-01 4.36179381e+00 2.79554476e+00
3.10823180e+02 -3.93909097e+02 3.72171232e-01 -1.71072547e+02 1.75000000e+02 1.00000000e-02 8.09224381e-01 -1.05848722e+01 1.53045599e+00 8.99117095e+01 3.52409423e-01 4.35556429e+00 2.79940456e+00
3.00408173e+02 -3.93192441e+02 3.71215844e-01 -1.70761307e+02 1.75000000e+02 1.00000000e-02 8.10663902e-01 -1.05482447e+01 1.53038990e+00 8.98846339e+01 3.51617471e-01 4.35600675e+00 2.79873384e+00
2.98273530e+02 -3.92785011e+02 3.80461501e-01 -1.70584363e+02 1.75000000e+02 1.00000000e-02 8.12579624e-01 -1.05783721e+01 1.54020022e+00 8.98689557e+01 3.52399913e-01 4.34217500e+00 2.81213458e+00
2.99330800e+02 -3.92954637e+02 3.70713677e-01 -1.70658031e+02 1.75000000e+02 1.00000000e-02 8.14019638e-01 -1.05700621e+01 1.53446941e+00 8.98856713e+01 3.53718216e-01 4.36530798e+00 2.79337659e+00
2.94698383e+02 -3.92541456e+02 3.63368992e-01 -1.70478588e+02 1.75000000e+02 1.00000000e-02 8.12136577e-01 -1.05681571e+01 1.53842551e+00 8.98691984e+01 3.51131398e-01 4.34512560e+00 2.80910487e+00
2.99614068e+02 -3.93537718e+02 3.69018419e-01 -1.70911259e+02 1.75000000e+02 1.00000000e-02 8.08860847e-01 -1.05706941e+01 1.53135543e+00 8.98946393e+01 3.50566349e-01 4.34621799e+00 2.80865530e+00
2.82758652e+02 -3.92385054e+02 3.62093975e-01 -1.70410664e+02 1.75000000e+02 1.00000000e-02 8.08951050e-01 -1.05555259e+01 1.53213651e+00 8.98857600e+01 3.51754619e-01 4.34770956e+00 2.80373603e+00
2.96850578e+02 -3.92875372e+02 3.66855328e-01 -1.70623606e+02 1.75000000e+02 1.00000000e-02 8.10009149e-01 -1.05711125e+01 1.52599773e+00 8.98706470e+01 3.50995999e-01 4.36777434e+00 2.78875937e+00
3.01358883e+02 -3.93632291e+02 3.70234844e-01 -1.70952332e+02 1.75000000e+02 1.00000000e-02 8.10707567e-01 -1.05684877e+01 1.53283493e+00 8.98974680e+01 3.49113378e-01 4.37034494e+00 2.78841042e+00
3.10055531e+02 -3.93871237e+02 3.83473916e-01 -1.71056105e+02 1.75000000e+02 1.00000000e-02 8.10913264e-01 -1.05712428e+01 1.53839797e+00 8.98971592e+01 3.50713189e-01 4.33093701e+00 2.81812162e+00
2.83122848e+02 -3.91827042e+02 3.59992234e-01 -1.70168322e+02 1.75000000e+02 1.00000000e-02 8.13929443e-01 -1.05729883e+01 1.53855395e+00 8.98976505e+01 3.50427536e-01 4.35048689e+00 2.80252742e+00
3.00549901e+02 -3.93719063e+02 3.75224826e-01 -1.70990016e+02 1.75000000e+02 1.00000000e-02 8.12718650e-01 -1.05692740e+01 1.54107252e+00 8.98849088e+01 3.51954871e-01 4.35344108e+00 2.80075185e+00
