id	run_time	logZ	logZerr	ndims	nlive	nreap	prec
0427_4783	101.511	-764.481	0.317	7	175	21	0.010
0427_6578	166.935	-764.606	0.315	7	175	21	0.010
0427_0303	103.033	-764.664	0.316	7	175	21	0.010
0427_2032	99.029	-764.099	0.310	7	175	21	0.010
0427_7214	127.626	-765.027	0.319	7	175	21	0.010
0427_6002	96.123	-764.239	0.315	7	175	21	0.010
0427_2022	190.820	-765.042	0.321	7	175	21	0.010
0427_6928	93.939	-764.278	0.314	7	175	21	0.010
0428_4516	84.154	-764.627	0.316	7	175	21	0.010
0428_1091	100.791	-764.832	0.317	7	175	21	0.010
