id	run_time	logZ	logZerr	ndims	nlive	nreap	prec
0427_3980	7029.831	-627.756	0.763	17	425	51	0.010
0428_2643	5870.636	-625.046	0.688	17	425	51	0.010
0428_0025	6376.787	-629.831	0.459	17	425	51	0.010
0428_5496	7355.897	-623.352	0.569	17	425	51	0.010
0428_0275	8487.594	-629.602	0.700	17	425	51	0.010
0428_9138	7439.645	-630.425	0.538	17	425	51	0.010
0429_7068	5894.490	-628.240	0.693	17	425	51	0.010
0429_9862	8883.672	-631.005	0.652	17	425	51	0.010
