id	run_time	logZ	logZerr	ndims	nlive	nreap	prec
0427_4030	26309.023	-505.023	0.953	22	550	66	0.010
0427_8097	30092.956	-518.400	0.691	22	550	66	0.010
0427_8217	20797.592	-511.934	0.701	22	550	66	0.010
0427_2440	22362.733	-508.892	0.942	22	550	66	0.010
0427_6602	26894.642	-508.335	0.884	22	550	66	0.010
0427_4293	30763.890	-517.083	0.893	22	550	66	0.010
0428_7891	17587.112	-505.746	0.888	22	550	66	0.010
0428_3098	24642.311	-517.170	1.030	22	550	66	0.010
0429_1769	19495.961	-509.812	0.535	22	550	66	0.010
0429_8566	20609.281	-508.244	1.296	22	550	66	0.010
0429_9114	33523.280	-512.899	1.244	22	550	66	0.010
