Time data sigma
---- ---- -----
0 -1.36418 0.617097
4.0172 -2.48904 0.822796
8.9611 -3.4718 0.822796
23.9521 -0.188326 1.13134
35.965 0.771702 0.822796
40.9613 2.43258 1.43989
257.193 -3.40473 1.23419
263.27 -0.662974 0.719946
291.109 2.13667 0.925645
318.101 -2.27511 0.719946
333.02 1.1904 1.13134
339.009 1.1687 0.617097
347.022 1.3632 1.23419
364.993 -1.05865 0.617097
611.359 -4.29256 0.514247
646.153 1.5355 1.43989
670.133 0.418457 0.925645
683.118 0.0408294 0.514247
693.077 1.13543 0.925645
698.043 1.02904 1.54274
928.34 -1.29947 1.13134
952.367 2.46603 0.617097
983.279 1.30189 0.925645
1039.03 -1.34817 0.925645
1093.97 -1.73202 0.719946
1390.09 -3.12248 1.13134
1739.13 -3.13678 1.64559
1785.06 1.30808 0.822796
