Time data sigma
---- ---- -----
0 8.32047 0.617097
4.0172 7.10959 0.822796
8.9611 3.73376 0.822796
23.9521 -3.41264 1.13134
35.965 -10.3039 0.822796
40.9613 -6.7833 1.43989
257.193 -3.8993 1.23419
263.27 -8.6409 0.719946
291.109 0.743918 0.925645
318.101 0.124017 0.719946
333.02 -5.54209 1.13134
339.009 -4.19729 0.617097
347.022 1.27307 1.23419
364.993 9.92624 0.617097
611.359 3.99414 0.514247
646.153 3.40132 1.43989
670.133 1.17876 0.925645
683.118 1.19586 0.514247
693.077 -9.62422 0.925645
698.043 -11.1357 1.54274
928.34 -6.96282 1.13134
952.367 1.17041 0.617097
983.279 -3.99191 0.925645
1039.03 -2.52274 0.925645
1093.97 4.86707 0.719946
1390.09 4.73679 1.13134
1739.13 7.91609 1.64559
1785.06 -1.23252 0.822796
