Time data sigma
---- ---- -----
0 5.78158 0.617097
4.0172 8.2103 0.822796
8.9611 8.16358 0.822796
23.9521 0.641739 1.13134
35.965 -3.03321 0.822796
40.9613 -5.07904 1.43989
257.193 3.81304 1.23419
263.27 1.68586 0.719946
291.109 0.570576 0.925645
318.101 4.37251 0.719946
333.02 -7.21281 1.13134
339.009 -7.40679 0.617097
347.022 -0.99891 1.23419
364.993 2.0005 0.617097
611.359 4.85951 0.514247
646.153 -7.00189 1.43989
670.133 7.88352 0.925645
683.118 -0.705339 0.514247
693.077 -4.54487 0.925645
698.043 -6.13755 1.54274
928.34 -1.76209 1.13134
952.367 -1.1205 0.617097
983.279 -0.858662 0.925645
1039.03 5.77266 0.925645
1093.97 7.81615 0.719946
1390.09 3.96052 1.13134
1739.13 2.00114 1.64559
1785.06 -3.91381 0.822796
