Time data sigma
---- ---- -----
0 -6.89897 0.617097
4.0172 -4.7831 0.822796
8.9611 -1.083 0.822796
23.9521 7.27673 1.13134
35.965 0.261037 0.822796
40.9613 1.16858 1.43989
257.193 4.56802 1.23419
263.27 10.8278 0.719946
291.109 -4.14591 0.925645
318.101 8.09744 0.719946
333.02 2.11469 1.13134
339.009 -1.3007 0.617097
347.022 -4.22732 1.23419
364.993 -3.6984 0.617097
611.359 0.031568 0.514247
646.153 -4.03829 1.43989
670.133 0.519955 0.925645
683.118 5.567 0.514247
693.077 4.26508 0.925645
698.043 -0.0130201 1.54274
928.34 4.07163 1.13134
952.367 -9.22597 0.617097
983.279 2.05886 0.925645
1039.03 3.58344 0.925645
1093.97 5.3993 0.719946
1390.09 2.01895 1.13134
1739.13 -6.14271 1.64559
1785.06 -7.24637 0.822796
