Time data sigma
---- ---- -----
0 2.63981 0.617097
4.0172 -0.113614 0.822796
8.9611 -0.667348 0.822796
23.9521 0.216022 1.13134
35.965 -3.06907 0.822796
40.9613 -6.64996 1.43989
257.193 2.62361 1.23419
263.27 0.938255 0.719946
291.109 -2.17334 0.925645
318.101 1.49667 0.719946
333.02 4.85442 1.13134
339.009 -0.706049 0.617097
347.022 -0.473911 1.23419
364.993 2.21335 0.617097
611.359 0.432019 0.514247
646.153 -3.09538 1.43989
670.133 1.55327 0.925645
683.118 1.57676 0.514247
693.077 0.580236 0.925645
698.043 -0.4348 1.54274
928.34 1.41471 1.13134
952.367 -0.244247 0.617097
983.279 0.235521 0.925645
1039.03 0.798691 0.925645
1093.97 1.61473 0.719946
1390.09 1.54495 1.13134
1739.13 0.033381 1.64559
1785.06 -2.24088 0.822796
