Time data sigma
---- ---- -----
0 1.65954 0.617097
4.0172 1.03154 0.822796
8.9611 -1.29186 0.822796
23.9521 -9.6753 1.13134
35.965 0.702824 0.822796
40.9613 7.01428 1.43989
257.193 -7.37158 1.23419
263.27 -7.20857 0.719946
291.109 2.70828 0.925645
318.101 -5.82301 0.719946
333.02 -2.05848 1.13134
339.009 4.59119 0.617097
347.022 6.49526 1.23419
364.993 0.223981 0.617097
611.359 -3.02666 0.514247
646.153 8.03641 1.43989
670.133 -3.81951 0.925645
683.118 -7.17755 0.514247
693.077 -1.25462 0.925645
698.043 1.9581 1.54274
928.34 -3.56817 1.13134
952.367 3.41455 0.617097
983.279 -6.83798 0.925645
1039.03 -3.71024 0.925645
1093.97 -5.79496 0.719946
1390.09 -4.89078 1.13134
1739.13 1.79073 1.64559
1785.06 5.65008 0.822796
