Time data sigma
---- ---- -----
0 2.64282 0.617097
4.0172 2.1679 0.822796
8.9611 0.410326 0.822796
23.9521 -2.40223 1.13134
35.965 -2.08097 0.822796
40.9613 1.54008 1.43989
257.193 -0.597034 1.23419
263.27 -5.67405 0.719946
291.109 4.25064 0.925645
318.101 -2.80347 0.719946
333.02 -2.67546 1.13134
339.009 2.34986 0.617097
347.022 1.93559 1.23419
364.993 3.75463 0.617097
611.359 -1.60714 0.514247
646.153 0.781059 1.43989
670.133 -0.492024 0.925645
683.118 -3.00547 0.514247
693.077 -2.44736 0.925645
698.043 -2.13475 1.54274
928.34 -4.74875 1.13134
952.367 5.33733 0.617097
983.279 -3.23003 0.925645
1039.03 0.921119 0.925645
1093.97 -0.259289 0.719946
1390.09 0.77112 1.13134
1739.13 5.61543 1.64559
1785.06 -1.39227 0.822796
