Time data sigma
---- ---- -----
0 -1.93366 0.617097
4.0172 -3.98654 0.822796
8.9611 -1.62264 0.822796
23.9521 5.53679 1.13134
35.965 2.81958 0.822796
40.9613 -2.12537 1.43989
257.193 2.54794 1.23419
263.27 1.60976 0.719946
291.109 -4.61768 0.925645
318.101 4.34701 0.719946
333.02 0.734417 1.13134
339.009 -1.85869 0.617097
347.022 -2.93116 1.23419
364.993 0.327866 0.617097
611.359 -1.63313 0.514247
646.153 -2.59609 1.43989
670.133 -1.37143 0.925645
683.118 4.79023 0.514247
693.077 0.574708 0.925645
698.043 -4.13203 1.54274
928.34 4.43871 1.13134
952.367 -2.13997 0.617097
983.279 6.57668 0.925645
1039.03 4.42122 0.925645
1093.97 -0.795961 0.719946
1390.09 -2.89152 1.13134
1739.13 -4.02947 1.64559
1785.06 -4.07804 0.822796
