Time data sigma
---- ---- -----
0 4.37396 0.617097
4.0172 0.769022 0.822796
8.9611 -4.45142 0.822796
23.9521 -4.3022 1.13134
35.965 -3.21478 0.822796
40.9613 -2.10958 1.43989
257.193 -3.67003 1.23419
263.27 -6.0536 0.719946
291.109 5.35155 0.925645
318.101 -4.12488 0.719946
333.02 -4.06643 1.13134
339.009 0.516129 0.617097
347.022 7.97796 1.23419
364.993 0.248188 0.617097
611.359 -3.14337 0.514247
646.153 5.03355 1.43989
670.133 -1.27519 0.925645
683.118 -6.20592 0.514247
693.077 -5.47531 0.925645
698.043 1.21553 1.54274
928.34 -5.16883 1.13134
952.367 2.79667 0.617097
983.279 -9.10596 0.925645
1039.03 -5.02067 0.925645
1093.97 -2.28964 0.719946
1390.09 -0.317737 1.13134
1739.13 3.09047 1.64559
1785.06 5.58799 0.822796
