Time data sigma
---- ---- -----
0 4.58145 0.617097
4.0172 7.80538 0.822796
8.9611 6.03683 0.822796
23.9521 4.23881 1.13134
35.965 -3.6313 0.822796
40.9613 -9.68404 1.43989
257.193 3.5895 1.23419
263.27 4.75723 0.719946
291.109 -1.50229 0.925645
318.101 5.14949 0.719946
333.02 -5.40583 1.13134
339.009 -7.90023 0.617097
347.022 -2.84325 1.23419
364.993 0.898164 0.617097
611.359 9.61436 0.514247
646.153 -2.58116 1.43989
670.133 7.23136 0.925645
683.118 1.57918 0.514247
693.077 -1.53786 0.925645
698.043 -2.88519 1.54274
928.34 -1.07925 1.13134
952.367 -2.90654 0.617097
983.279 0.846894 0.925645
1039.03 0.933214 0.925645
1093.97 2.90931 0.719946
1390.09 6.84523 1.13134
1739.13 -2.02867 1.64559
1785.06 -4.03011 0.822796
