Time data sigma
---- ---- -----
0 5.05923 0.617097
4.0172 5.83098 0.822796
8.9611 2.40023 0.822796
23.9521 -1.74042 1.13134
35.965 -4.40757 0.822796
40.9613 -2.33619 1.43989
257.193 4.36251 1.23419
263.27 -1.9664 0.719946
291.109 1.41829 0.925645
318.101 0.140292 0.719946
333.02 -5.90306 1.13134
339.009 -6.09786 0.617097
347.022 -2.29203 1.23419
364.993 5.1333 0.617097
611.359 3.2668 0.514247
646.153 1.87099 1.43989
670.133 2.17268 0.925645
683.118 0.122612 0.514247
693.077 -3.91745 0.925645
698.043 -2.94407 1.54274
928.34 -3.41207 1.13134
952.367 3.0117 0.617097
983.279 0.996244 0.925645
1039.03 2.30115 0.925645
1093.97 1.29113 0.719946
1390.09 2.40402 1.13134
1739.13 4.09949 1.64559
1785.06 -1.41774 0.822796
