Time data sigma
---- ---- -----
0 2.88895 0.617097
4.0172 2.69521 0.822796
8.9611 -6.31479 0.822796
23.9521 -6.33073 1.13134
35.965 -3.97625 0.822796
40.9613 -2.40898 1.43989
257.193 -3.48812 1.23419
263.27 -9.149 0.719946
291.109 7.95851 0.925645
318.101 -4.70459 0.719946
333.02 -5.70822 1.13134
339.009 2.65932 0.617097
347.022 9.26317 1.23419
364.993 -2.72885 0.617097
611.359 -0.871411 0.514247
646.153 6.74149 1.43989
670.133 1.33366 0.925645
683.118 -10.1422 0.514247
693.077 -5.87842 0.925645
698.043 -4.83059 1.54274
928.34 -3.56032 1.13134
952.367 5.90887 0.617097
983.279 -9.70235 0.925645
1039.03 -6.58858 0.925645
1093.97 -4.50784 0.719946
1390.09 -2.01298 1.13134
1739.13 9.21169 1.64559
1785.06 4.54678 0.822796
