Time data sigma
---- ---- -----
0 -0.408914 0.617097
4.0172 1.61143 0.822796
8.9611 -2.21479 0.822796
23.9521 -1.47015 1.13134
35.965 0.455353 0.822796
40.9613 3.28281 1.43989
257.193 -0.949883 1.23419
263.27 -0.630699 0.719946
291.109 -0.575982 0.925645
318.101 -0.352362 0.719946
333.02 -0.616048 1.13134
339.009 3.31821 0.617097
347.022 4.2675 1.23419
364.993 -1.50447 0.617097
611.359 -2.17333 0.514247
646.153 1.67104 1.43989
670.133 -1.69703 0.925645
683.118 -0.0409606 0.514247
693.077 0.808821 0.925645
698.043 2.63221 1.54274
928.34 0.0273859 1.13134
952.367 2.43478 0.617097
983.279 -1.1945 0.925645
1039.03 -1.33113 0.925645
1093.97 -1.40397 0.719946
1390.09 -2.29062 1.13134
1739.13 0.632498 1.64559
1785.06 2.6466 0.822796
