Time data sigma
---- ---- -----
0 2.41463 0.617097
4.0172 1.11636 0.822796
8.9611 0.113162 0.822796
23.9521 -2.10341 1.13134
35.965 -2.20749 0.822796
40.9613 0.469216 1.43989
257.193 -0.820823 1.23419
263.27 -3.33838 0.719946
291.109 2.84158 0.925645
318.101 -1.40386 0.719946
333.02 -0.686398 1.13134
339.009 2.00525 0.617097
347.022 0.975662 1.23419
364.993 2.03205 0.617097
611.359 0.178495 0.514247
646.153 2.36261 1.43989
670.133 1.49871 0.925645
683.118 -2.9698 0.514247
693.077 0.58876 0.925645
698.043 2.11674 1.54274
928.34 -2.10387 1.13134
952.367 1.34591 0.617097
983.279 -2.50006 0.925645
1039.03 -2.12574 0.925645
1093.97 0.0885321 0.719946
1390.09 1.73015 1.13134
1739.13 1.58985 1.64559
1785.06 -0.160643 0.822796
