Time data sigma
---- ---- -----
0 -0.502694 0.617097
4.0172 -1.29165 0.822796
8.9611 -1.85902 0.822796
23.9521 -3.45445 1.13134
35.965 4.33119 0.822796
40.9613 8.26743 1.43989
257.193 -5.31132 1.23419
263.27 -1.84214 0.719946
291.109 2.53228 0.925645
318.101 -5.05466 0.719946
333.02 1.48235 1.13134
339.009 2.01789 0.617097
347.022 4.6794 1.23419
364.993 -1.55169 0.617097
611.359 -2.06558 0.514247
646.153 6.42234 1.43989
670.133 -1.8028 0.925645
683.118 -3.21948 0.514247
693.077 2.57797 0.925645
698.043 5.79254 1.54274
928.34 0.982714 1.13134
952.367 2.71174 0.617097
983.279 -0.796903 0.925645
1039.03 -0.969242 0.925645
1093.97 -4.44427 0.719946
1390.09 -5.30283 1.13134
1739.13 0.772654 1.64559
1785.06 3.42039 0.822796
