Time data sigma
---- ---- -----
0 -7.95177 0.617097
4.0172 -0.924088 0.822796
8.9611 4.0026 0.822796
23.9521 5.83427 1.13134
35.965 2.31372 0.822796
40.9613 -2.57216 1.43989
257.193 6.97893 1.23419
263.27 11.1486 0.719946
291.109 -5.62338 0.925645
318.101 5.70185 0.719946
333.02 5.20989 1.13134
339.009 -3.39349 0.617097
347.022 -10.2912 1.23419
364.993 -1.14216 0.617097
611.359 6.68447 0.514247
646.153 -3.38882 1.43989
670.133 4.2999 0.925645
683.118 7.09423 0.514247
693.077 0.0912181 0.925645
698.043 -1.01085 1.54274
928.34 7.89088 1.13134
952.367 -9.54264 0.617097
983.279 5.4422 0.925645
1039.03 4.3249 0.925645
1093.97 5.31335 0.719946
1390.09 -0.947425 1.13134
1739.13 -12.1163 1.64559
1785.06 -1.78321 0.822796
