Time data sigma
---- ---- -----
0 0.481768 0.617097
4.0172 -0.670381 0.822796
8.9611 -1.33012 0.822796
23.9521 -0.110721 1.13134
35.965 0.773549 0.822796
40.9613 -1.64413 1.43989
257.193 -1.07455 1.23419
263.27 -0.79605 0.719946
291.109 2.51261 0.925645
318.101 -0.12696 0.719946
333.02 0.256307 1.13134
339.009 1.51122 0.617097
347.022 2.59356 1.23419
364.993 -2.62759 0.617097
611.359 0.498251 0.514247
646.153 4.2092 1.43989
670.133 -1.77536 0.925645
683.118 -0.310139 0.514247
693.077 0.264771 0.925645
698.043 5.3014 1.54274
928.34 -2.40394 1.13134
952.367 2.71681 0.617097
983.279 1.32044 0.925645
1039.03 -1.68077 0.925645
1093.97 -2.92003 0.719946
1390.09 -1.53658 1.13134
1739.13 -0.741945 1.64559
1785.06 1.98454 0.822796
