Time data sigma
---- ---- -----
0 3.69892 0.617097
4.0172 10.0335 0.822796
8.9611 9.97748 0.822796
23.9521 0.0241153 1.13134
35.965 -5.94748 0.822796
40.9613 -7.41399 1.43989
257.193 7.29353 1.23419
263.27 -1.64712 0.719946
291.109 -6.35584 0.925645
318.101 2.10716 0.719946
333.02 -3.35284 1.13134
339.009 -6.58119 0.617097
347.022 -7.3534 1.23419
364.993 11.3789 0.617097
611.359 9.77085 0.514247
646.153 -6.29519 1.43989
670.133 8.27945 0.925645
683.118 -3.38725 0.514247
693.077 -5.23215 0.925645
698.043 -9.35959 1.54274
928.34 -5.18984 1.13134
952.367 -2.56556 0.617097
983.279 -2.97455 0.925645
1039.03 3.31352 0.925645
1093.97 4.68592 0.719946
1390.09 5.13275 1.13134
1739.13 2.68712 1.64559
1785.06 -3.0341 0.822796
