Time data sigma
---- ---- -----
0 0.210351 0.617097
4.0172 5.66351 0.822796
8.9611 8.82034 0.822796
23.9521 3.83092 1.13134
35.965 -0.542887 0.822796
40.9613 -5.0202 1.43989
257.193 11.7245 1.23419
263.27 6.12359 0.719946
291.109 -5.62325 0.925645
318.101 9.54893 0.719946
333.02 -4.61395 1.13134
339.009 -6.39874 0.617097
347.022 -6.21622 1.23419
364.993 1.67677 0.617097
611.359 6.12142 0.514247
646.153 -10.8845 1.43989
670.133 5.86275 0.925645
683.118 5.71478 0.514247
693.077 1.80071 0.925645
698.043 -4.01375 1.54274
928.34 0.566315 1.13134
952.367 -5.13387 0.617097
983.279 5.1864 0.925645
1039.03 9.99724 0.925645
1093.97 9.97305 0.719946
1390.09 3.93818 1.13134
1739.13 -3.85999 1.64559
1785.06 -5.36579 0.822796
