Time data sigma
---- ---- -----
0 -1.50493 0.617097
4.0172 -3.62959 0.822796
8.9611 -2.06183 0.822796
23.9521 2.3171 1.13134
35.965 2.66404 0.822796
40.9613 0.333692 1.43989
257.193 -2.74694 1.23419
263.27 0.461336 0.719946
291.109 -0.548107 0.925645
318.101 0.744196 0.719946
333.02 4.32177 1.13134
339.009 7.20284 0.617097
347.022 3.3396 1.23419
364.993 -2.39914 0.617097
611.359 -2.82026 0.514247
646.153 0.608312 1.43989
670.133 -3.30988 0.925645
683.118 0.688992 0.514247
693.077 4.92688 0.925645
698.043 6.37119 1.54274
928.34 6.05239 1.13134
952.367 -0.0639221 0.617097
983.279 1.78834 0.925645
1039.03 -1.76684 0.925645
1093.97 -1.84472 0.719946
1390.09 -3.96691 1.13134
1739.13 -0.203236 1.64559
1785.06 -0.956152 0.822796
