# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0
1.66937923e+01 -3.90510138e+02 3.47403341e-01 -1.69596398e+02 8.00000000e+01 1.00000000e-02 9.94279836e-01 -8.70338386e+00
1.82339158e+01 -3.91379020e+02 3.61790200e-01 -1.69973749e+02 8.00000000e+01 1.00000000e-02 9.91349836e-01 -8.68932892e+00
1.77800663e+01 -3.90726376e+02 3.51023443e-01 -1.69690309e+02 8.00000000e+01 1.00000000e-02 9.92537608e-01 -8.71116564e+00
1.76303291e+01 -3.91388443e+02 3.59416703e-01 -1.69977841e+02 8.00000000e+01 1.00000000e-02 9.93062871e-01 -8.67181590e+00
1.66533535e+01 -3.90421983e+02 3.45788686e-01 -1.69558113e+02 8.00000000e+01 1.00000000e-02 9.92481177e-01 -8.68584785e+00
1.67143366e+01 -3.90687268e+02 3.49535964e-01 -1.69673325e+02 8.00000000e+01 1.00000000e-02 9.95360402e-01 -8.68287854e+00
1.68451669e+01 -3.90869503e+02 3.53671833e-01 -1.69752468e+02 8.00000000e+01 1.00000000e-02 9.90939238e-01 -8.69399963e+00
1.70836880e+01 -3.90686968e+02 3.49138618e-01 -1.69673195e+02 8.00000000e+01 1.00000000e-02 9.96578780e-01 -8.71952620e+00
1.62985933e+01 -3.90206613e+02 3.42457653e-01 -1.69464579e+02 8.00000000e+01 1.00000000e-02 9.96087552e-01 -8.68036765e+00
1.65621924e+01 -3.90342757e+02 3.42190504e-01 -1.69523706e+02 8.00000000e+01 1.00000000e-02 9.91328315e-01 -8.69664721e+00
1.66115324e+01 -3.90647681e+02 3.47116178e-01 -1.69656132e+02 8.00000000e+01 1.00000000e-02 9.93528328e-01 -8.71360568e+00
1.63211820e+01 -3.90211171e+02 3.42599761e-01 -1.69466558e+02 8.00000000e+01 1.00000000e-02 9.95999311e-01 -8.68719472e+00
1.55406885e+01 -3.90149785e+02 3.40244059e-01 -1.69439899e+02 8.00000000e+01 1.00000000e-02 9.92774628e-01 -8.67855472e+00
1.77527704e+01 -3.91445457e+02 3.62134882e-01 -1.70002602e+02 8.00000000e+01 1.00000000e-02 9.92818944e-01 -8.66658627e+00
1.58391795e+01 -3.89964870e+02 3.34183867e-01 -1.69359591e+02 8.00000000e+01 1.00000000e-02 9.93535080e-01 -8.68568839e+00
