# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_ecc planet1_omega planet1_ma0
4.57970807e+02 -3.82766988e+02 4.58104635e-01 -1.66233591e+02 1.75000000e+02 1.00000000e-02 6.83399876e-01 -4.90865797e+00 1.03829596e+00 3.36367382e+01 4.90709454e-01 3.62617027e+00 2.34631191e+00
3.13038484e+02 -3.80084128e+02 3.62332908e-01 -1.65068439e+02 1.75000000e+02 1.00000000e-02 6.81018785e-01 -4.92908074e+00 1.04482668e+00 3.36389224e+01 4.91578566e-01 3.63269102e+00 2.34634953e+00
3.10651038e+02 -3.79986221e+02 3.76422805e-01 -1.65025919e+02 1.75000000e+02 1.00000000e-02 6.85924099e-01 -4.92995959e+00 1.02678325e+00 3.36426202e+01 4.83980527e-01 3.63957354e+00 2.34446732e+00
3.27826015e+02 -3.81033738e+02 3.84771316e-01 -1.65480850e+02 1.75000000e+02 1.00000000e-02 6.82189813e-01 -4.92252620e+00 1.03460770e+00 3.36441583e+01 4.85751148e-01 3.62660756e+00 2.35454795e+00
2.79959651e+02 -3.77121722e+02 3.48212244e-01 -1.63781883e+02 1.75000000e+02 1.00000000e-02 6.82572265e-01 -4.91760715e+00 1.04595981e+00 3.36432108e+01 4.87882260e-01 3.60524797e+00 2.36475646e+00
2.60436724e+02 -3.77927776e+02 3.35165230e-01 -1.64131948e+02 1.75000000e+02 1.00000000e-02 7.27369775e-01 -5.01776341e+00 7.78353110e-01 3.10404811e+01 6.73315056e-02 4.61668004e+00 4.29177107e+00
3.25839766e+02 -3.78983075e+02 3.54733058e-01 -1.64590258e+02 1.75000000e+02 1.00000000e-02 6.85485720e-01 -4.91801310e+00 1.03584872e+00 3.36415480e+01 4.86369128e-01 3.61735594e+00 2.35955224e+00
2.91877518e+02 -3.79490101e+02 3.74234258e-01 -1.64810457e+02 1.75000000e+02 1.00000000e-02 6.80926117e-01 -4.92469704e+00 1.03866507e+00 3.36439075e+01 4.87915091e-01 3.62865847e+00 2.35370104e+00
2.95198125e+02 -3.78493162e+02 3.44243153e-01 -1.64377492e+02 1.75000000e+02 1.00000000e-02 6.83373151e-01 -4.93902050e+00 1.01779586e+00 3.36475050e+01 4.81834505e-01 3.64325264e+00 2.33967027e+00
2.95562302e+02 -3.78632412e+02 3.78549169e-01 -1.64437967e+02 1.75000000e+02 1.00000000e-02 6.79817695e-01 -4.91333774e+00 1.04246772e+00 3.36412029e+01 4.86197230e-01 3.61617822e+00 2.35564750e+00
3.40325511e+02 -3.77897719e+02 3.90430901e-01 -1.64118894e+02 1.75000000e+02 1.00000000e-02 6.80281213e-01 -4.92244423e+00 1.04297144e+00 3.36406340e+01 4.88418164e-01 3.62349848e+00 2.35673909e+00
3.11031687e+02 -3.81186776e+02 3.63734950e-01 -1.65547313e+02 1.75000000e+02 1.00000000e-02 6.97619609e-01 -4.92062072e+00 9.79271926e-01 3.34801589e+01 4.40411514e-01 3.54593513e+00 2.31439885e+00
2.97830754e+02 -3.78438066e+02 3.58127053e-01 -1.64353564e+02 1.75000000e+02 1.00000000e-02 6.87035395e-01 -4.91020297e+00 1.03788901e+00 3.36384606e+01 4.85882966e-01 3.63024776e+00 2.35008035e+00
3.33256679e+02 -3.80233415e+02 3.68038012e-01 -1.65133274e+02 1.75000000e+02 1.00000000e-02 6.79039996e-01 -4.91167030e+00 1.03509856e+00 3.36433600e+01 4.84545307e-01 3.62744148e+00 2.35463853e+00
4.07819054e+02 -3.82522395e+02 4.59068468e-01 -1.66127365e+02 1.75000000e+02 1.00000000e-02 6.81311954e-01 -4.90621472e+00 1.03513579e+00 3.36379214e+01 4.86487853e-01 3.61697193e+00 2.35974345e+00
3.43318869e+02 -3.78523535e+02 3.45050021e-01 -1.64390682e+02 1.75000000e+02 1.00000000e-02 6.87892822e-01 -4.90489952e+00 1.02710069e+00 3.36501656e+01 4.78536306e-01 3.64407087e+00 2.34612297e+00
3.08548943e+02 -3.79987535e+02 3.81742419e-01 -1.65026489e+02 1.75000000e+02 1.00000000e-02 6.81962615e-01 -4.91089749e+00 1.03156819e+00 3.36405260e+01 4.86124368e-01 3.62548127e+00 2.34906300e+00
3.18119684e+02 -3.79469271e+02 3.91337996e-01 -1.64801410e+02 1.75000000e+02 1.00000000e-02 6.84615410e-01 -4.93393684e+00 1.03155362e+00 3.36403051e+01 4.83593335e-01 3.61308080e+00 2.35737760e+00
3.10495810e+02 -3.78047124e+02 4.39435281e-01 -1.64183780e+02 1.75000000e+02 1.00000000e-02 6.86073655e-01 -4.90588679e+00 1.03287195e+00 3.36421181e+01 4.83695383e-01 3.61208932e+00 2.35899917e+00
3.09648650e+02 -3.80222985e+02 3.62248636e-01 -1.65128744e+02 1.75000000e+02 1.00000000e-02 6.82882066e-01 -4.92265519e+00 1.03549299e+00 3.36438348e+01 4.86919961e-01 3.62126424e+00 2.35556296e+00
