# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0
1.76427500e+01 -3.84502896e+02 5.50051150e-01 -1.66987486e+02 5.00000000e+01 1.00000000e-02 9.54489028e-01 -4.89604566e+00
1.79816124e+01 -3.84446825e+02 4.52126181e-01 -1.66963135e+02 5.00000000e+01 1.00000000e-02 9.26890316e-01 -4.83340933e+00
1.67993684e+01 -3.84449304e+02 4.31076892e-01 -1.66964211e+02 5.00000000e+01 1.00000000e-02 9.44539881e-01 -4.72124352e+00
1.84383297e+01 -3.84487092e+02 4.36170584e-01 -1.66980622e+02 5.00000000e+01 1.00000000e-02 9.46146931e-01 -4.85206505e+00
1.47598128e+01 -3.85171840e+02 4.55711411e-01 -1.67278005e+02 5.00000000e+01 1.00000000e-02 9.55319484e-01 -4.92030511e+00
1.29741664e+01 -3.83292347e+02 4.91794836e-01 -1.66461751e+02 5.00000000e+01 1.00000000e-02 9.66173636e-01 -4.92641265e+00
1.82588532e+01 -3.84712981e+02 4.37541573e-01 -1.67078725e+02 5.00000000e+01 1.00000000e-02 9.30505509e-01 -4.96489080e+00
2.58397524e+01 -3.84312565e+02 4.68205243e-01 -1.66904826e+02 5.00000000e+01 1.00000000e-02 9.63378170e-01 -4.81677702e+00
1.54418001e+01 -3.84291943e+02 6.89985523e-01 -1.66895870e+02 5.00000000e+01 1.00000000e-02 8.85816148e-01 -4.80580004e+00
1.92898707e+01 -3.83757084e+02 5.52877235e-01 -1.66663584e+02 5.00000000e+01 1.00000000e-02 9.44608269e-01 -4.80583950e+00
1.14034481e+01 -3.84173881e+02 4.24830532e-01 -1.66844597e+02 5.00000000e+01 1.00000000e-02 9.23803510e-01 -4.81481832e+00
1.44926741e+01 -3.84256668e+02 4.85368273e-01 -1.66880550e+02 5.00000000e+01 1.00000000e-02 9.10494495e-01 -4.90045609e+00
