id	run_time	logZ	logZerr	ndims	nlive	nreap	prec
0426_2472	3821.735	-804.289	0.786	16	400	48	0.010
0426_0340	4118.967	-803.403	0.515	16	400	48	0.010
0426_4426	4879.622	-800.029	0.389	16	400	48	0.010
0426_4405	5332.221	-802.196	0.562	16	400	48	0.010
0426_6033	6039.449	-803.135	0.438	16	400	48	0.010
0426_3113	6165.799	-803.786	0.593	16	400	48	0.010
0426_6778	6470.638	-804.985	0.488	16	400	48	0.010
0426_6808	7659.264	-803.689	0.549	16	400	48	0.010
