# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0
1.13521454e+01 -4.87789570e+02 4.84965166e-01 -2.11844318e+02 4.00000000e+01 1.00000000e-02 2.18219917e+00 -7.68034320e-01
1.01177015e+01 -4.88980050e+02 5.10115449e-01 -2.12361337e+02 4.00000000e+01 1.00000000e-02 2.20430226e+00 -8.00724438e-01
7.24724000e+01 -4.87095000e+02 4.14374000e-01 -2.11540000e+02 5.00000000e+01 1.00000000e-03 2.09461000e+00 -7.01260000e-01
7.18800000e+01 -4.87801000e+02 4.31724000e-01 -2.11847000e+02 5.00000000e+01 1.00000000e-03 2.09872000e+00 -6.77616000e-01
7.17187000e+01 -4.87822000e+02 4.34713000e-01 -2.11856000e+02 5.00000000e+01 1.00000000e-03 2.10204000e+00 -6.78634000e-01
6.18792000e+01 -4.88666000e+02 4.50989000e-01 -2.12223000e+02 5.00000000e+01 1.00000000e-03 2.09652000e+00 -7.43501000e-01
6.41774000e+01 -4.87409000e+02 4.27045000e-01 -2.11677000e+02 5.00000000e+01 1.00000000e-03 2.09338000e+00 -7.64217000e-01
7.44593000e+01 -4.87303000e+02 4.20029000e-01 -2.11631000e+02 5.00000000e+01 1.00000000e-03 2.09483000e+00 -7.37510000e-01
6.77304430e+01 -4.87518009e+02 4.24822808e-01 -2.11724196e+02 5.00000000e+01 1.00000000e-03 2.09246065e+00 -7.30459571e-01
5.88867188e+01 -4.87528996e+02 4.27971609e-01 -2.11728968e+02 5.00000000e+01 1.00000000e-03 2.10256612e+00 -7.41277756e-01
4.02234390e+01 -4.87945422e+02 4.34047789e-01 -2.11909817e+02 5.00000000e+01 1.00000000e-03 2.09587991e+00 -6.63996259e-01
3.84767926e+01 -4.87352443e+02 4.21584363e-01 -2.11652292e+02 5.00000000e+01 1.00000000e-03 2.09323572e+00 -7.12757823e-01
3.24801543e+01 -4.88723503e+02 4.52421190e-01 -2.12247730e+02 5.00000000e+01 1.00000000e-03 2.09672035e+00 -7.10525940e-01
2.27914236e+01 -4.88051663e+02 4.36502401e-01 -2.11955957e+02 5.00000000e+01 1.00000000e-03 2.09512571e+00 -6.88019455e-01
4.26065390e+01 -4.88247917e+02 3.15875383e-01 -2.12041188e+02 1.00000000e+02 1.00000000e-03 2.08995623e+00 -7.22082840e-01
2.14221895e+01 -4.88396831e+02 4.46216877e-01 -2.12105860e+02 5.00000000e+01 1.00000000e-03 2.09811194e+00 -7.43831709e-01
4.93417540e+02 -4.87909673e+02 3.11398179e-01 -2.11894292e+02 1.00000000e+02 1.00000000e-03 2.08918958e+00 -7.20751114e-01
4.95164213e+02 -4.87885127e+02 3.11368299e-01 -2.11883632e+02 1.00000000e+02 1.00000000e-03 2.08930511e+00 -7.21948839e-01
4.98407634e+02 -4.88168373e+02 3.15814292e-01 -2.12006643e+02 1.00000000e+02 1.00000000e-03 2.08984526e+00 -7.18166601e-01
5.00821115e+02 -4.88120266e+02 3.13623012e-01 -2.11985750e+02 1.00000000e+02 1.00000000e-03 2.09001596e+00 -7.16480221e-01
5.01238197e+02 -4.88311385e+02 3.16554029e-01 -2.12068752e+02 1.00000000e+02 1.00000000e-03 2.08884555e+00 -7.22832865e-01
5.04558679e+02 -4.88044052e+02 3.12977402e-01 -2.11952651e+02 1.00000000e+02 1.00000000e-03 2.08923307e+00 -7.23843738e-01
5.04846039e+02 -4.88150008e+02 3.14407997e-01 -2.11998667e+02 1.00000000e+02 1.00000000e-03 2.08962722e+00 -7.22336017e-01
5.05372342e+02 -4.87896014e+02 3.10420258e-01 -2.11888360e+02 1.00000000e+02 1.00000000e-03 2.08905181e+00 -7.24172496e-01
5.06281950e+02 -4.88189230e+02 3.16932129e-01 -2.12015701e+02 1.00000000e+02 1.00000000e-03 2.08945563e+00 -7.15598124e-01
5.07422640e+02 -4.88424690e+02 3.17220840e-01 -2.12117958e+02 1.00000000e+02 1.00000000e-03 2.09003237e+00 -7.22162806e-01
2.03183885e+01 -4.88339037e+02 4.39643329e-01 -2.12080760e+02 5.00000000e+01 1.00000000e-03 2.09343064e+00 -7.22438297e-01
2.05606997e+01 -4.88458458e+02 4.47417768e-01 -2.12132624e+02 5.00000000e+01 1.00000000e-03 2.09026084e+00 -7.59579046e-01
2.06118612e+01 -4.88617682e+02 4.48199445e-01 -2.12201773e+02 5.00000000e+01 1.00000000e-03 2.09393554e+00 -7.46750074e-01
2.27776406e+01 -4.87913001e+02 4.33715944e-01 -2.11895737e+02 5.00000000e+01 1.00000000e-03 2.10337091e+00 -7.09661381e-01
1.46581659e+01 -4.88375393e+02 4.44989889e-01 -2.12098738e+02 5.00000000e+01 1.00000000e-02 2.18834900e+00 -7.38308068e-01
1.72480001e+01 -4.87428593e+02 4.19127749e-01 -2.11687548e+02 5.00000000e+01 1.00000000e-02 2.18373571e+00 -7.44773112e-01
