# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_secos planet1_sesin planet1_ma0 planet2_k1 planet2_period planet2_secos planet2_sesin planet2_ma0 planet3_k1 planet3_logperiod planet3_secos planet3_sesin planet3_ma0
6.12232773e+03 -4.10253854e+02 4.98311531e-01 -1.78170985e+02 2.04000000e+02 1.00000000e-03 6.38941980e-01 -1.35179394e+00 1.71971231e+00 1.21075440e+01 3.79486074e-02 -9.08610358e-02 2.08550761e+00 2.04049640e+00 7.11049358e+02 5.19037597e-01 8.73252727e-01 3.43515447e+00 2.38867339e+00 3.74289945e+00 4.52347584e-02 4.03675186e-01 8.82765004e-01
1.26850624e+04 -4.04100076e+02 6.87942604e-01 -1.75498433e+02 4.25000000e+02 1.00000000e-02 4.90428205e-01 1.27333684e-01 2.22124399e+00 4.20831035e+01 2.93281660e-01 -1.79189222e-01 2.82415659e+00 1.54755405e+00 9.17836935e+02 -8.13695568e-01 -6.39159933e-01 1.35401905e+00 1.81255512e+00 2.49341708e+00 1.30553424e-01 5.71783866e-02 2.12928076e-01
5.09404394e+03 -4.04230357e+02 5.46237515e-01 -1.75555014e+02 3.06000000e+02 1.00000000e-02 6.17779455e-01 -4.78384466e-01 1.76450673e+00 1.21054519e+01 1.96604739e-01 1.99903118e-01 4.27377064e+00 2.21486732e+00 4.22359715e+01 1.36875668e-01 3.42903373e-01 1.09780807e+00 1.29776436e+00 3.57216390e+00 -7.47966455e-02 -1.61030483e-01 3.78005963e+00
4.46432158e+03 -4.02801483e+02 9.08575672e-01 -1.74934461e+02 3.06000000e+02 1.00000000e-02 6.40143085e-01 -4.99808896e-01 2.26601250e+00 4.21708868e+01 -1.35309171e-01 -1.49025415e-01 4.35894841e+00 1.17838961e+00 6.64856331e+02 -4.90827617e-01 -2.71166193e-01 2.26679428e+00 1.73831806e+00 2.49383350e+00 2.00410955e-01 9.69042477e-02 1.28977283e+00
9.08845266e+03 -4.07833066e+02 5.70730713e-01 -1.77119650e+02 3.06000000e+02 1.00000000e-02 5.09120354e-01 -4.52556560e-01 2.42087538e+00 4.21122163e+01 -1.34165821e-01 -5.34326213e-01 4.11781232e+00 1.70504705e+00 1.21067440e+01 2.64127617e-01 3.55668549e-02 5.75005289e-01 1.83402608e+00 3.00150750e+00 -7.65895853e-01 4.73997924e-01 4.21427396e+00
6.85016498e+03 -4.00262530e+02 4.07789634e-01 -1.73831808e+02 4.25000000e+02 1.00000000e-02 5.91245339e-01 -2.75699481e-01 2.38101191e+00 4.21505845e+01 -8.80134208e-02 -4.53891284e-01 3.85271317e+00 1.57588293e+00 9.17674724e+01 -4.92037660e-01 2.20249754e-01 4.14000254e+00 1.69548795e+00 2.49392874e+00 7.74916647e-03 2.63874571e-02 3.41853595e+00
8.91802955e+03 -4.08650299e+02 5.94818867e-01 -1.77474570e+02 4.25000000e+02 1.00000000e-02 6.29906959e-01 -4.08838357e-01 1.83159638e+00 1.52987414e+01 9.27113664e-02 2.82135135e-01 5.42159831e+00 2.27983511e+00 4.04205920e+01 -1.43420699e-01 -4.92951847e-01 3.98289225e+00 1.68656712e+00 4.15653652e+00 1.50303841e-01 -6.37048456e-01 4.08125372e+00
7.38652804e+03 -4.02671987e+02 4.17655425e-01 -1.74878222e+02 4.25000000e+02 1.00000000e-02 5.90676686e-01 -3.42074757e-01 1.16371166e+00 4.97817818e+01 2.56631794e-01 -4.46489065e-01 2.06540091e+00 2.27835380e+00 4.21659982e+01 -8.85293266e-02 -4.71006763e-01 4.01356808e+00 1.61235718e+00 3.49859628e+00 -7.92977034e-02 2.54082703e-01 3.66480683e+00
