# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_secos planet1_sesin planet1_ma0 planet2_k1 planet2_period planet2_secos planet2_sesin planet2_ma0
1.75265432e+03 -4.03724994e+02 5.50102536e-01 -1.75335537e+02 1.44000000e+02 1.00000000e-02 6.32306421e-01 -4.40619572e-01 1.77460808e+00 1.21090657e+01 9.79342702e-02 2.07053449e-01 5.43113262e+00 2.27145749e+00 4.21935501e+01 2.05702156e-01 2.63083336e-01 1.44176555e+00
5.04734074e+03 -4.10706323e+02 4.59153680e-01 -1.78367490e+02 2.40000000e+02 1.00000000e-02 6.31808953e-01 -4.14393274e-01 2.30063100e+00 4.21752410e+01 -3.18574886e-02 -2.27849533e-01 3.35133577e+00 1.74808199e+00 1.21092919e+01 2.25253113e-01 6.27134966e-02 4.47746114e-01
1.04488388e+03 -4.14126996e+02 6.09605513e-01 -1.79853069e+02 1.44000000e+02 1.00000000e-02 6.31554721e-01 -3.73951415e-01 1.75352555e+00 1.21095389e+01 6.21895072e-02 3.22957617e-02 3.09848696e+00 2.27788125e+00 4.22098780e+01 1.78870536e-01 3.17384304e-01 1.35703850e+00
1.89646721e+03 -4.01133396e+02 4.15595624e-01 -1.74210020e+02 2.40000000e+02 1.00000000e-03 6.44495437e-01 -4.76358444e-01 2.30798906e+00 4.21843394e+01 1.23212146e-02 -1.84306545e-01 3.05376344e+00 1.74613132e+00 1.21088088e+01 1.98758405e-01 8.39588886e-02 1.44755390e+00
3.97692038e+03 -4.13920744e+02 4.24907357e-01 -1.79763495e+02 3.00000000e+02 1.00000000e-02 6.46381498e-01 -4.54881839e-01 2.27914379e+00 4.22077011e+01 1.88914946e-01 3.83936024e-01 1.17622046e+00 1.77265466e+00 1.21089148e+01 9.41252145e-02 2.38659926e-01 5.71938688e+00
2.57498133e+03 -4.03657348e+02 3.80928198e-01 -1.75306159e+02 3.00000000e+02 1.00000000e-02 6.51844979e-01 -4.23098648e-01 2.27560540e+00 4.22048057e+01 1.56940436e-01 1.89102628e-01 1.87892718e+00 1.75774549e+00 1.21081779e+01 1.31259591e-01 1.56173407e-01 3.13606415e+00
2.54496178e+03 -4.07193860e+02 3.98536893e-01 -1.76842046e+02 3.00000000e+02 1.00000000e-02 6.31222516e-01 -4.16554089e-01 1.76670724e+00 1.21089064e+01 1.66940936e-01 1.31029554e-01 2.06803349e+00 2.29465143e+00 4.22051042e+01 2.23259194e-01 3.57135631e-01 1.31507571e+00
2.69591577e+03 -4.03631607e+02 3.82558518e-01 -1.75294979e+02 3.00000000e+02 1.00000000e-02 6.10251576e-01 -4.95458466e-01 2.32455585e+00 4.21879828e+01 1.63629356e-02 -8.31071250e-02 2.77257159e+00 1.76574911e+00 1.21112402e+01 8.42271846e-02 2.39308865e-01 5.64909178e+00
2.14530749e+03 -4.01138742e+02 3.72074171e-01 -1.74212342e+02 3.00000000e+02 1.00000000e-02 6.41577824e-01 -4.20715919e-01 2.28964442e+00 4.22018662e+01 9.34742860e-02 9.06707603e-02 2.10725717e+00 1.77000289e+00 1.21107590e+01 7.81400864e-02 2.58354742e-01 5.68789653e+00
2.70976833e+03 -4.09249113e+02 4.05456008e-01 -1.77734631e+02 3.00000000e+02 1.00000000e-02 6.43139993e-01 -4.67846581e-01 1.76434911e+00 1.21096867e+01 1.95516350e-01 1.20190289e-01 2.18702946e+00 2.26659012e+00 4.22045213e+01 1.96785727e-01 3.66243743e-01 1.25289815e+00
2.58065945e+03 -4.06118892e+02 3.92711067e-01 -1.76375194e+02 3.00000000e+02 1.00000000e-02 6.24684332e-01 -4.68868663e-01 2.39430720e+00 4.21721226e+01 -1.50788836e-01 -4.38610853e-01 3.97573876e+00 1.76658507e+00 1.21091918e+01 1.02150621e-01 2.48846125e-01 5.77807400e+00
3.32302330e+03 -4.08409245e+02 7.44836133e-01 -1.77369882e+02 3.00000000e+02 1.00000000e-02 6.40412329e-01 -4.60772830e-01 2.29434447e+00 4.21818180e+01 1.13472185e-02 -1.13046918e-01 2.94894420e+00 1.75418991e+00 1.21083781e+01 1.84610537e-01 1.27292018e-01 2.49465916e+00
2.43917412e+03 -4.49717549e+02 3.22349664e-01 -1.95309850e+02 3.00000000e+02 1.00000000e-02 1.42985053e+00 -6.13319083e-01 2.60142356e+00 4.20143425e+01 -2.35811182e-01 -2.50980142e-01 4.18576371e+00 2.06802483e+00 4.59166834e+02 -6.95633314e-02 -7.46823947e-01 4.58153812e+00
2.85076860e+03 -4.03719199e+02 1.15167680e+00 -1.75333020e+02 3.00000000e+02 1.00000000e-02 6.38640445e-01 -4.61607445e-01 2.29375938e+00 4.22049796e+01 1.73431788e-01 2.90795329e-01 1.50022678e+00 1.76855388e+00 1.21093685e+01 1.05310174e-01 2.39383402e-01 5.74431156e+00
2.01679837e+03 -4.02366463e+02 3.98507479e-01 -1.74745534e+02 3.00000000e+02 1.00000000e-02 6.41127454e-01 -4.53875078e-01 1.76150813e+00 1.21092477e+01 1.07859671e-01 2.05364081e-01 4.69708275e+00 2.31466537e+00 4.21904524e+01 2.28873165e-02 -3.40038633e-02 2.59064366e+00
