# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_ecos planet1_esin planet1_ma0
2.24509031e+02 -4.42343897e+02 4.80794843e-01 -1.92107514e+02 8.40000000e+01 1.00000000e-02 1.36555062e+00 -5.47572312e-01 2.60854865e+00 4.20888185e+01 1.61187124e-01 1.30059705e-01 1.89441379e+00
4.53341835e+02 -4.42154337e+02 3.35100958e-01 -1.92025189e+02 1.75000000e+02 1.00000000e-02 1.35855591e+00 -5.31471678e-01 2.64549660e+00 4.20922278e+01 2.05688015e-01 1.66072646e-01 1.75827941e+00
7.14799325e+02 -4.42341394e+02 3.38083967e-01 -1.92106426e+02 1.75000000e+02 1.00000000e-02 1.35728204e+00 -5.60788493e-01 2.63678044e+00 4.20989172e+01 2.08254764e-01 1.76907051e-01 1.69119523e+00
3.50253161e+02 -4.41557196e+02 3.32508969e-01 -1.91765854e+02 1.75000000e+02 1.00000000e-02 1.35724706e+00 -5.39050474e-01 2.65135521e+00 4.21022032e+01 2.17823016e-01 1.84232827e-01 1.65995689e+00
3.46383762e+02 -4.42164502e+02 3.35092853e-01 -1.92029603e+02 1.75000000e+02 1.00000000e-02 1.36056918e+00 -5.50509900e-01 2.65442204e+00 4.20864364e+01 1.42244971e-01 9.79365984e-02 2.15344652e+00
3.43165787e+02 -4.41648262e+02 3.31253040e-01 -1.91805403e+02 1.75000000e+02 1.00000000e-02 1.36294391e+00 -5.50843543e-01 2.64282193e+00 4.20966533e+01 2.04684244e-01 1.67804792e-01 1.73795859e+00
3.47220859e+02 -4.41984075e+02 3.34037323e-01 -1.91951245e+02 1.75000000e+02 1.00000000e-02 1.35738522e+00 -5.28319737e-01 2.64274308e+00 4.20959530e+01 2.03520405e-01 1.70566700e-01 1.73997290e+00
3.49372946e+02 -4.41585689e+02 3.33092221e-01 -1.91778228e+02 1.75000000e+02 1.00000000e-02 1.35559950e+00 -5.47288548e-01 2.64220899e+00 4.20924622e+01 1.90317498e-01 1.53835140e-01 1.82658398e+00
3.47688802e+02 -4.41094337e+02 3.27797861e-01 -1.91564837e+02 1.75000000e+02 1.00000000e-02 1.35779224e+00 -5.49705359e-01 2.63539585e+00 4.20966075e+01 2.18852919e-01 1.77649005e-01 1.66882053e+00
3.46750232e+02 -4.41706609e+02 3.31617420e-01 -1.91830743e+02 1.75000000e+02 1.00000000e-02 1.35911335e+00 -5.40105368e-01 2.63207462e+00 4.20952206e+01 1.83861564e-01 1.46374506e-01 1.87663291e+00
3.36146324e+02 -4.40705604e+02 3.24289278e-01 -1.91396012e+02 1.75000000e+02 1.00000000e-02 1.36120441e+00 -5.54692810e-01 2.64375904e+00 4.20990399e+01 2.16869523e-01 1.82422955e-01 1.66094449e+00
3.43667564e+02 -4.41328196e+02 3.28441875e-01 -1.91666400e+02 1.75000000e+02 1.00000000e-02 1.35773399e+00 -5.46054569e-01 2.64133929e+00 4.20932530e+01 1.84520595e-01 1.45345506e-01 1.86587940e+00
3.35014308e+02 -4.41319857e+02 3.29977553e-01 -1.91662779e+02 1.75000000e+02 1.00000000e-02 1.35680895e+00 -5.58069799e-01 2.64989764e+00 4.20899244e+01 1.67989759e-01 1.34466879e-01 1.94632536e+00
3.50522426e+02 -4.41848325e+02 3.32314834e-01 -1.91892289e+02 1.75000000e+02 1.00000000e-02 1.35794214e+00 -5.48807143e-01 2.63704279e+00 4.20965392e+01 2.06786890e-01 1.72905820e-01 1.71169814e+00
3.40464403e+02 -4.41269298e+02 3.28741744e-01 -1.91640821e+02 1.75000000e+02 1.00000000e-02 1.36024316e+00 -5.30421852e-01 2.64687553e+00 4.21035321e+01 2.25270935e-01 1.90802364e-01 1.61524807e+00
3.34349826e+02 -4.41027559e+02 3.27085839e-01 -1.91535835e+02 1.75000000e+02 1.00000000e-02 1.35821161e+00 -5.48792058e-01 2.63651358e+00 4.21019109e+01 2.13418820e-01 1.83096476e-01 1.65358373e+00
3.47581668e+02 -4.42124416e+02 3.33650303e-01 -1.92012194e+02 1.75000000e+02 1.00000000e-02 1.35683954e+00 -5.54499436e-01 2.63846716e+00 4.20918192e+01 1.97857620e-01 1.59053782e-01 1.79067063e+00
3.40734906e+02 -4.41371205e+02 3.30614277e-01 -1.91685079e+02 1.75000000e+02 1.00000000e-02 1.35702660e+00 -5.43042656e-01 2.65028333e+00 4.20965821e+01 2.17215918e-01 1.82883315e-01 1.65811211e+00
3.52262043e+02 -4.42002946e+02 3.36042149e-01 -1.91959441e+02 1.75000000e+02 1.00000000e-02 1.35916512e+00 -5.53380214e-01 2.65113296e+00 4.20870576e+01 1.46083105e-01 1.05099879e-01 2.11733572e+00
