# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_ecos planet1_esin planet1_ma0 planet2_k1 planet2_period planet2_ecos planet2_esin planet2_ma0
1.43886024e+03 -3.90429181e+02 4.61380671e-01 -1.69561239e+02 1.44000000e+02 1.00000000e-02 6.38529846e-01 -4.29424761e-01 2.35775016e+00 4.21605721e+01 -9.24153107e-02 -2.53248455e-01 4.05501813e+00 1.76632172e+00 1.21092454e+01 4.07653990e-02 8.79495019e-02 5.80740770e+00
1.22898135e+03 -3.90769995e+02 4.59383220e-01 -1.69709253e+02 1.44000000e+02 1.00000000e-02 6.10583297e-01 -3.27849897e-01 2.21828089e+00 4.22250715e+01 7.44475744e-02 1.25367249e-01 1.52553050e+00 1.74640580e+00 1.21079459e+01 4.75346857e-02 8.60461504e-02 5.36160772e+00
2.11895406e+03 -3.90799444e+02 3.80582229e-01 -1.69722042e+02 2.16000000e+02 1.00000000e-02 6.39294074e-01 -3.01581419e-01 2.36311495e+00 4.21883778e+01 -6.79804440e-02 -2.06246308e-01 3.55596520e+00 1.76614229e+00 1.21088384e+01 4.68030091e-02 9.65463750e-02 4.79308945e+00
1.88945659e+03 -3.90217267e+02 3.56575505e-01 -1.69469206e+02 2.40000000e+02 1.00000000e-02 6.44278306e-01 -4.78570395e-01 2.29828747e+00 4.21918115e+01 3.54176851e-03 -4.55623902e-02 2.74301041e+00 1.77663023e+00 1.21089126e+01 3.76584993e-02 7.73240212e-02 4.85521851e+00
2.40684809e+03 -3.90758189e+02 3.21084175e-01 -1.69704125e+02 3.00000000e+02 1.00000000e-02 6.23093470e-01 -4.30637944e-01 2.32581627e+00 4.21691378e+01 -6.42756860e-02 -2.03307200e-01 3.78684604e+00 1.75569656e+00 1.21084188e+01 7.36045263e-02 3.72281872e-02 9.78402632e-01
2.17092561e+03 -3.91037385e+02 3.22062376e-01 -1.69825378e+02 3.00000000e+02 1.00000000e-02 6.27946532e-01 -4.32242865e-01 2.28126061e+00 4.21974987e+01 2.26745598e-02 1.52077295e-02 2.36512088e+00 1.76421781e+00 1.21089899e+01 5.49187428e-02 4.63043817e-02 1.96293948e+00
2.05101171e+03 -3.90843130e+02 3.21848204e-01 -1.69741014e+02 3.00000000e+02 1.00000000e-02 6.40473456e-01 -4.34511175e-01 2.29462879e+00 4.21922391e+01 8.06485999e-03 -2.00720017e-02 2.48220170e+00 1.76400097e+00 1.21086823e+01 5.66151204e-02 5.30292407e-02 3.05764592e+00
2.16956106e+03 -3.91445407e+02 3.25135362e-01 -1.70002580e+02 3.00000000e+02 1.00000000e-02 6.41945041e-01 -4.54446175e-01 2.31866294e+00 4.21928809e+01 1.56354339e-02 -2.20860575e-03 2.45154199e+00 1.76678159e+00 1.21091441e+01 3.89557721e-02 7.46492709e-02 4.78135043e+00
2.13709379e+03 -3.91241540e+02 3.23737795e-01 -1.69914042e+02 3.00000000e+02 1.00000000e-02 6.40085916e-01 -4.55601803e-01 2.30560457e+00 4.21795111e+01 -1.31820963e-02 -6.75071588e-02 2.93215071e+00 1.77746449e+00 1.21082016e+01 5.80482378e-02 4.78397606e-02 3.11265062e+00
2.06511312e+03 -3.91103750e+02 3.23400377e-01 -1.69854200e+02 3.00000000e+02 1.00000000e-02 6.36530597e-01 -4.55534918e-01 2.30292460e+00 4.21919955e+01 1.16078692e-02 -1.25230675e-02 2.42197278e+00 1.76327217e+00 1.21092734e+01 4.95238338e-02 7.01834806e-02 4.32517524e+00
2.20450130e+03 -3.92064335e+02 3.28588216e-01 -1.70271377e+02 3.00000000e+02 1.00000000e-02 6.23879126e-01 -5.15061911e-01 2.29762350e+00 4.21822597e+01 -1.32781166e-02 -1.01739571e-01 3.05873508e+00 1.77824887e+00 1.21084621e+01 5.49760302e-02 5.27236465e-02 3.33538398e+00
