rjd	vrad	svrad	rhk	sig_rhk
54483.5935	31334.800000000003	0.4	-4.9615	0.0014
54484.6271	31336.5	0.4	-4.9535	0.0011
54486.5871	31333.600000000002	0.4	-4.9558	0.0016
54529.5416	31336.1	0.4	-4.9496	0.0016
54555.4916	31333.9	0.4	-4.9813	0.0014
54556.4833	31330.9	0.5	-4.9806	0.0014
54557.4845	31334.6	0.4	-4.986	0.002
54562.4792	31334.0	0.3	-4.9824	0.0012
54566.4761	31332.3	0.4	-4.9691	0.0015
54570.4748	31338.8	0.4	-4.9619	0.0019
54736.8753	31334.3	0.5	-4.9531	0.0023
54852.6937	31333.5	0.4	-4.9036	0.0012
54854.6131	31332.5	0.3	-4.9007	0.0012
54932.5043	31332.7	0.3	-4.8986	0.0011
54934.475	31337.2	0.4	-4.9021	0.0016
54935.4878	31335.6	0.4	-4.9011	0.0019
54937.4739	31337.7	0.4	-4.9082	0.0015
54939.4838	31333.2	0.4	-4.9101	0.0014
54941.5025	31333.9	0.3	-4.9161	0.0011
54947.462	31334.6	0.3	-4.896	0.0011
54950.4825	31333.100000000002	0.3	-4.8919	0.0009
54951.4656	31333.300000000003	0.4	-4.8918	0.0017
54952.4697	31332.2	0.4	-4.8847	0.0015
54953.4638	31334.2	0.3	-4.8851	0.0012
54954.4592	31335.0	0.4	-4.8891	0.0015
54955.4582	31340.6	0.3	-4.8829	0.0011
54959.5019	31338.5	0.5	-4.89	0.0028
55096.8913	31334.800000000003	0.5	-4.9093	0.0022
55098.8873	31334.5	0.4	-4.8992	0.0016
55100.8406	31338.6	0.4	-4.8958	0.0016
55103.8566	31334.3	0.6	-4.8992	0.0034
55106.8475	31337.9	0.5	-4.8758	0.0017
55112.8464	31331.1	0.4	-4.8458	0.0012
55134.864	31332.100000000002	0.4	-4.8926	0.0013
55138.7954	31336.7	0.5	-4.884	0.0013
55141.8085	31336.600000000002	0.4	-4.8616	0.0013
55166.6311	31341.5	0.4	-4.8591	0.0013
55168.6519	31334.3	0.3	-4.8688	0.0012
55169.6449	31336.4	0.4	-4.8741	0.0014
55272.5594	31340.3	0.4	-4.8411	0.0016
55279.5027	31339.4	0.5	-4.8365	0.0019
55284.5392	31337.6	0.3	-4.8377	0.001
55424.8913	31337.9	0.7	-4.8315	0.004
55456.8925	31338.2	0.4	-4.8483	0.0014
55484.8377	31339.8	0.4	-4.8423	0.0018
55487.8252	31337.2	0.4	-4.8396	0.0016
55519.6932	31334.0	0.4	-4.87	0.0021
55523.7622	31338.3	0.4	-4.8612	0.0017
55538.6289	31333.100000000002	0.4	-4.8462	0.0018
55544.6485	31335.3	0.4	-4.8551	0.0014
55549.7331	31338.2	0.3	-4.8503	0.0013
55579.7549	31336.5	0.4	-4.859	0.0015
55581.7226	31335.899999999998	0.3	-4.8697	0.0014
55585.7401	31333.4	0.4	-4.8749	0.002
55612.5951	31334.9	0.4	-4.8722	0.0016
55635.5731	31341.7	0.4	-4.8333	0.0017
55637.5622	31343.3	0.8	-4.8399	0.0054
55640.5691	31341.8	0.6	-4.8288	0.0025
55653.5479	31335.5	0.4	-4.8779	0.0016
55662.5239	31336.600000000002	0.4	-4.8648	0.0021
55835.816	31335.6	0.4	-4.8817	0.0019
55844.8008	31333.7	0.5	-4.8614	0.0024
55871.767	31337.9	0.4	-4.8608	0.002
55879.8273	31339.7	0.6	-4.8721	0.0031
55894.7106	31338.7	0.3	-4.8518	0.0013
55895.7287	31340.399999999998	0.3	-4.8455	0.0011
55896.7342	31338.2	0.3	-4.8447	0.0016
55897.7444	31339.8	0.3	-4.8502	0.0012
55902.6204	31338.8	0.4	-4.8619	0.0017
55923.6724	31333.600000000002	0.4	-4.8494	0.0015
55926.6657	31336.4	0.3	-4.8454	0.0013
55933.7134	31337.0	0.3	-4.8315	0.0011
56026.541	31332.6	0.4	-4.8778	0.0021
56030.542	31331.9	0.8	-4.8635	0.0059
56173.8658	31333.600000000002	0.6	-4.8772	0.0025
56198.8785	31340.399999999998	0.7	-4.8108	0.0033
56224.8548	31337.7	0.6	-4.88	0.002
56226.8659	31340.9	0.6	-4.8732	0.0028
56229.8033	31335.5	0.6	-4.8636	0.0019
56258.7458	31330.5	0.6	-4.8932	0.0024
56271.592	31340.800000000003	0.6	-4.8585	0.0016
56285.7219	31334.7	0.5	-4.883	0.0015
56292.7043	31338.0	0.5	-4.8821	0.0016
56320.6434	31335.7	0.5	-4.8828	0.0017
56322.6348	31340.5	0.6	-4.8813	0.0022
56370.5372	31340.699999999997	0.7	-4.8691	0.0037
56371.5657	31335.8	0.5	-4.882	0.002
56373.514	31336.8	0.5	-4.8917	0.002
56399.5113	31335.6	0.5	-4.8855	0.0019
56402.4894	31332.100000000002	0.5	-4.8817	0.0019
56403.4869	31333.300000000003	0.6	-4.881	0.0021
56596.8245	31335.0	0.5	-4.9306	0.0026
56602.871	31337.399999999998	0.4	-4.8977	0.0017
56613.7968	31338.4	0.6	-4.895	0.002
56617.7439	31334.9	0.6	-4.9089	0.0023
56677.5277	31338.7	0.5	-4.9118	0.0025
56698.5976	31337.1	0.4	-4.9224	0.0018
56702.524	31330.600000000002	0.6	-4.9145	0.0034
56713.6045	31340.2	0.5	-4.8828	0.0025
56748.5	31337.9	0.6	-4.8921	0.0023
56753.5467	31342.7	0.7	-4.8696	0.0034
