# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_ecos planet1_esin planet1_ma0 planet2_k1 planet2_period planet2_ecos planet2_esin planet2_ma0
1.09778704e+03 -3.83403465e+02 2.61644634e-01 -1.66510009e+02 3.00000000e+02 1.00000000e-02 7.42215930e-01 -8.78056009e+00 1.04453748e+00 4.00659819e+01 -7.03906170e-02 2.31771999e-01 3.71473614e+00 2.81166902e-01 1.23789381e+01 1.02096855e-01 -6.03463126e-02 3.33744597e+00
1.15904605e+03 -3.82779157e+02 2.95534610e-01 -1.66238876e+02 3.00000000e+02 1.00000000e-02 7.44294626e-01 -8.73262150e+00 1.05340369e+00 4.00637068e+01 -8.54129844e-02 2.63843564e-01 4.01184473e+00 2.95400340e-01 1.23601411e+01 9.31248928e-02 -5.67046509e-02 3.77945470e+00
1.10616680e+03 -3.83558846e+02 2.62112650e-01 -1.66577490e+02 3.00000000e+02 1.00000000e-02 7.44068475e-01 -8.75832447e+00 1.04283877e+00 4.00434706e+01 -1.08915450e-01 2.89020547e-01 4.19462022e+00 2.64162407e-01 1.24297027e+01 7.96473925e-03 -1.82144611e-02 3.59964049e+00
1.12350434e+03 -3.83806646e+02 2.62643404e-01 -1.66685108e+02 3.00000000e+02 1.00000000e-02 7.40018537e-01 -8.77003879e+00 1.06753118e+00 4.00489425e+01 -1.28326302e-01 2.77765467e-01 3.98537531e+00 2.86834131e-01 1.23691758e+01 5.19157781e-02 2.26516933e-02 3.37317669e+00
1.11434859e+03 -3.83621783e+02 2.62329640e-01 -1.66604824e+02 3.00000000e+02 1.00000000e-02 7.29948310e-01 -8.75600680e+00 1.09582874e+00 4.00724139e+01 -1.14730368e-01 2.65176725e-01 3.90387616e+00 3.08278483e-01 1.24306944e+01 9.67451785e-02 -8.26232306e-02 3.86801271e+00
1.12541894e+03 -3.83209312e+02 2.59781534e-01 -1.66425690e+02 3.00000000e+02 1.00000000e-02 7.45607112e-01 -8.64142123e+00 1.05495033e+00 4.00650779e+01 -2.41616443e-02 1.57960757e-01 3.43824928e+00 2.76352631e-01 1.23954089e+01 5.40886906e-02 5.44972155e-02 3.66692557e+00
1.12902954e+03 -3.83806109e+02 2.63134769e-01 -1.66684875e+02 3.00000000e+02 1.00000000e-02 7.54814715e-01 -8.73191878e+00 1.05799292e+00 4.00619765e+01 -3.52198744e-02 1.61178322e-01 3.55826764e+00 2.66215842e-01 1.23610351e+01 8.24115531e-02 -1.25587729e-01 3.75930914e+00
1.10789895e+03 -3.83042002e+02 2.59354924e-01 -1.66353028e+02 3.00000000e+02 1.00000000e-02 7.55100804e-01 -8.70991066e+00 1.04485325e+00 4.00948291e+01 -6.24183396e-03 1.33083253e-01 3.10537810e+00 2.69002743e-01 1.23590190e+01 3.94431964e-02 2.48068918e-02 3.64388286e+00
1.13161737e+03 -3.83609467e+02 2.63115594e-01 -1.66599475e+02 3.00000000e+02 1.00000000e-02 7.38433041e-01 -8.78298675e+00 1.00765094e+00 4.00885469e+01 -8.01236076e-03 1.65842792e-01 4.05055866e+00 3.02796237e-01 1.23904432e+01 2.87035910e-02 -1.27584801e-02 3.53588193e+00
1.11923360e+03 -3.83633523e+02 2.61924849e-01 -1.66609922e+02 3.00000000e+02 1.00000000e-02 7.60192150e-01 -8.75331130e+00 1.03836863e+00 4.00770747e+01 -6.70493463e-02 2.11594485e-01 3.82771160e+00 2.67096063e-01 1.23309733e+01 6.22575181e-02 -5.60242624e-02 3.44530862e+00
1.08859791e+03 -3.82691996e+02 2.56442360e-01 -1.66201022e+02 3.00000000e+02 1.00000000e-02 7.57631207e-01 -8.76279049e+00 1.04493496e+00 4.00888117e+01 -5.35612188e-02 1.48241414e-01 3.19591150e+00 2.92390906e-01 1.22959302e+01 1.33053575e-01 -4.32986351e-02 3.12665193e+00
