# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_secos planet1_sesin planet1_ma0 planet2_k1 planet2_period planet2_secos planet2_sesin planet2_ma0 planet3_k1 planet3_logperiod planet3_secos planet3_sesin planet3_ma0
7.20011640e+03 -3.70195313e+02 3.20734877e-01 -1.60773782e+02 4.25000000e+02 1.00000000e-02 5.00827659e-01 -7.75311498e+00 1.10407531e+00 4.01609887e+01 -2.87651791e-01 4.88580244e-01 4.37020088e+00 1.96285137e+00 2.77159731e+01 -6.74175262e-01 2.48030915e-01 3.49512319e+00 1.18726033e+00 4.88826092e+00 1.05983533e-01 -1.82357503e-01 1.56438242e+00
5.17483622e+03 -3.71757317e+02 3.65986409e-01 -1.61452151e+02 4.25000000e+02 1.00000000e-02 4.10391183e-01 -8.40435883e+00 1.13491955e+00 1.76448807e+02 4.14717585e-01 -2.94974853e-03 4.90879013e+00 1.01772616e+00 4.00657858e+01 -1.07973931e-01 5.07813642e-01 4.56033812e+00 1.56520763e+00 5.16833371e+00 -1.49889880e-01 -1.21712627e-01 3.20418506e+00
5.00382740e+03 -3.70951744e+02 3.80978438e-01 -1.61102296e+02 4.25000000e+02 1.00000000e-02 4.79792268e-01 -7.47214159e+00 4.76359181e+00 5.32646740e+02 1.15253103e-01 -8.13576255e-02 2.09380342e+00 1.27680633e+00 9.23434433e+01 -8.36524367e-02 -1.20714382e-01 3.09995424e+00 1.03859061e+00 3.69293024e+00 2.41048948e-01 -2.50967657e-01 1.15491889e+00
5.57984245e+03 -3.66468704e+02 2.91581058e-01 -1.59155336e+02 4.25000000e+02 1.00000000e-02 4.26515316e-01 -8.27153951e+00 1.15519660e+00 9.82247805e+01 1.94377346e-01 -5.41710386e-02 2.23456038e+00 1.13447083e+00 4.06013658e+01 -2.44940688e-01 5.03272398e-01 4.45710346e+00 1.14299871e+00 3.12246435e+00 -9.93260734e-02 -5.09248987e-02 4.21268639e+00
7.62295254e+03 -3.67943447e+02 2.89644066e-01 -1.59795809e+02 4.25000000e+02 1.00000000e-02 2.72621056e-01 -7.33768515e+00 9.23568328e-01 5.26805147e+01 4.12848369e-01 -2.07191863e-02 2.10396235e-01 3.16584527e+00 7.45221979e+01 -8.65809460e-01 -6.52421528e-01 1.64215325e+00 1.26925467e+00 4.52256441e+00 -2.42561516e-01 -1.93250982e-01 3.23673838e+00
6.73003528e+03 -3.68952588e+02 5.03527139e-01 -1.60234073e+02 4.25000000e+02 1.00000000e-02 3.55405147e-01 -8.03248822e+00 1.71683260e+00 1.65620821e+02 -6.06142623e-01 -6.18832688e-02 1.40456251e+00 1.11822802e+00 4.00560880e+01 -2.50769520e-01 4.19553334e-01 4.38671607e+00 1.26310386e+00 4.52857099e+00 1.17737225e-01 -1.48069528e-01 1.94581579e+00
6.20884148e+03 -3.69889493e+02 3.63743833e-01 -1.60640966e+02 4.25000000e+02 1.00000000e-02 3.23157069e-01 -8.30759808e+00 1.97314040e+00 5.01091508e+02 2.81543268e-01 5.79722386e-01 3.86950075e+00 1.84766967e+00 1.32442380e+02 -4.09824757e-01 -1.24776474e-01 3.15194747e+00 1.13594938e+00 3.96424225e+00 3.14262583e-01 -6.16289134e-02 3.70217387e+00
9.42215972e+03 -3.73333878e+02 3.92339119e-01 -1.62136843e+02 4.25000000e+02 1.00000000e-02 3.41155570e-01 -7.09930725e+00 1.91421998e+00 1.80569176e+03 -9.56823836e-01 -7.95491106e-01 5.21132310e+00 1.18588048e+00 9.17307027e+01 -1.17874415e-03 -1.37540382e-01 2.41029286e+00 8.72236002e-01 3.69505577e+00 1.41880309e-01 1.71154599e-01 5.49239746e+00
8.19752352e+03 -3.73464212e+02 5.06053715e-01 -1.62193447e+02 4.25000000e+02 1.00000000e-02 4.36752747e-01 -7.87755957e+00 1.15341326e+00 1.92961754e+02 -1.97322321e-01 3.71947710e-01 4.64905023e+00 1.71813870e+00 1.95048103e+02 -1.51237142e-01 -1.28107554e-01 2.41214774e+00 1.24884479e+00 3.65662619e+00 1.49998237e-01 1.77555973e-01 4.02410752e+00
5.36233433e+03 -3.70446573e+02 3.37422419e-01 -1.60882903e+02 4.25000000e+02 1.00000000e-02 4.16474210e-01 -7.98616896e+00 1.05749499e+00 4.01063743e+01 -2.61559704e-01 3.75068057e-01 4.15561104e+00 1.25876532e+00 9.21717171e+01 9.83070748e-03 -1.32541629e-01 2.26727187e+00 2.06430385e+00 5.47793689e+00 2.37431020e-01 1.95947736e-01 3.52511206e+00
