# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_ecos planet1_esin planet1_ma0
2.85813945e+02 -3.80361192e+02 3.13000169e-01 -1.65188767e+02 1.75000000e+02 1.00000000e-02 7.63163088e-01 -8.75055015e+00 1.05567148e+00 4.00467714e+01 -9.18030670e-02 2.95829735e-01 4.16752688e+00
2.80313489e+02 -3.80706694e+02 3.14376617e-01 -1.65338817e+02 1.75000000e+02 1.00000000e-02 7.64305705e-01 -8.76130618e+00 1.03782313e+00 4.00597782e+01 -7.32814124e-02 2.65952864e-01 4.24561891e+00
2.80752290e+02 -3.80280456e+02 3.12518246e-01 -1.65153704e+02 1.75000000e+02 1.00000000e-02 7.66402350e-01 -8.73775473e+00 1.04949220e+00 4.00539105e+01 -9.24849255e-02 2.95380899e-01 4.23696766e+00
2.97792291e+02 -3.80745664e+02 3.15043577e-01 -1.65355741e+02 1.75000000e+02 1.00000000e-02 7.67746527e-01 -8.73400627e+00 1.05721407e+00 4.00686037e+01 -4.31645070e-02 2.16179920e-01 3.72703533e+00
2.91536230e+02 -3.79775302e+02 3.07491068e-01 -1.64934318e+02 1.75000000e+02 1.00000000e-02 7.65403159e-01 -8.73655523e+00 1.06220203e+00 4.00444870e+01 -1.06467447e-01 3.18747003e-01 4.37951587e+00
2.77481412e+02 -3.80756131e+02 3.17556141e-01 -1.65360287e+02 1.75000000e+02 1.00000000e-02 7.66668556e-01 -8.76762107e+00 1.05706141e+00 4.00490886e+01 -9.21941407e-02 2.94669326e-01 4.15662197e+00
2.75402246e+02 -3.80030156e+02 3.10301779e-01 -1.65045000e+02 1.75000000e+02 1.00000000e-02 7.63678893e-01 -8.72279494e+00 1.04585203e+00 4.00491819e+01 -1.03244137e-01 3.11533136e-01 4.36262316e+00
2.75238778e+02 -3.80065231e+02 3.11407580e-01 -1.65060233e+02 1.75000000e+02 1.00000000e-02 7.66304823e-01 -8.71993118e+00 1.04506357e+00 4.00561865e+01 -6.21611983e-02 2.60526044e-01 4.08301504e+00
2.79296919e+02 -3.80579111e+02 3.16024779e-01 -1.65283408e+02 1.75000000e+02 1.00000000e-02 7.61343210e-01 -8.74640426e+00 1.07073360e+00 4.00554907e+01 -1.05336113e-01 3.05379483e-01 4.21246295e+00
2.70291541e+02 -3.80309204e+02 3.12039453e-01 -1.65166189e+02 1.75000000e+02 1.00000000e-02 7.63495608e-01 -8.75559008e+00 1.03898115e+00 4.00575295e+01 -8.41302991e-02 2.81990774e-01 4.25904932e+00
2.81572464e+02 -3.80201195e+02 3.11449284e-01 -1.65119281e+02 1.75000000e+02 1.00000000e-02 7.63861792e-01 -8.76186203e+00 1.03844549e+00 4.00486858e+01 -1.02678176e-01 3.15909709e-01 4.37206196e+00
2.79891289e+02 -3.80948539e+02 3.17629035e-01 -1.65443848e+02 1.75000000e+02 1.00000000e-02 7.63964696e-01 -8.74042932e+00 1.04576359e+00 4.00588553e+01 -7.13886421e-02 2.81499699e-01 4.20734545e+00
2.81572973e+02 -3.80737789e+02 3.17630348e-01 -1.65352321e+02 1.75000000e+02 1.00000000e-02 7.69780931e-01 -8.74544759e+00 1.03983885e+00 4.00411361e+01 -7.03582116e-02 2.77986673e-01 4.18442885e+00
2.87927807e+02 -3.80233110e+02 3.13174120e-01 -1.65133141e+02 1.75000000e+02 1.00000000e-02 7.66944170e-01 -8.73970072e+00 1.05903202e+00 4.00530284e+01 -9.77569986e-02 3.03915887e-01 4.27794722e+00
2.71746367e+02 -3.80135355e+02 3.10104413e-01 -1.65090687e+02 1.75000000e+02 1.00000000e-02 7.60579351e-01 -8.75179284e+00 1.05374140e+00 4.00623420e+01 -1.23916818e-02 1.78567721e-01 3.43037629e+00
2.82880239e+02 -3.80467792e+02 3.16122817e-01 -1.65235062e+02 1.75000000e+02 1.00000000e-02 7.63453510e-01 -8.74739928e+00 1.06535218e+00 4.00607436e+01 -1.03542943e-01 3.04742081e-01 4.23052615e+00
