# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_secos planet1_sesin planet1_ma0 planet2_k1 planet2_period planet2_secos planet2_sesin planet2_ma0
2.19233266e+03 -3.84674004e+02 7.66162180e-01 -1.67061797e+02 3.00000000e+02 1.00000000e-02 5.95533021e-01 6.59702741e+00 2.07459801e+00 2.58557716e+01 1.73184759e-01 8.55617528e-02 2.29502371e+00 1.01749700e+00 8.18207805e+01 4.68004206e-01 -3.88163566e-02 1.06798120e+00
2.22246722e+03 -3.87929707e+02 7.16292678e-01 -1.68475731e+02 3.00000000e+02 1.00000000e-02 6.15256536e-01 6.68750347e+00 2.21235446e+00 1.80460759e+01 1.15708403e-01 1.91567708e-02 3.39757505e+00 1.15269707e+00 1.14785518e+02 2.01043948e-01 3.32752057e-01 3.20062183e+00
2.14293067e+03 -3.86873705e+02 4.00111410e-01 -1.68017115e+02 3.00000000e+02 1.00000000e-02 6.02638845e-01 6.62231513e+00 1.14446998e+00 8.41711376e+01 3.63664670e-01 7.73795500e-02 1.52443754e+00 2.00659056e+00 2.92153542e+01 2.31240097e-01 2.42849939e-02 2.61398992e+00
2.10700862e+03 -3.85988079e+02 4.68792016e-01 -1.67632493e+02 3.00000000e+02 1.00000000e-02 6.08639622e-01 6.62709899e+00 2.10427496e+00 2.87677686e+01 1.69402843e-01 3.16722416e-02 3.25375149e+00 1.04886062e+00 8.41785264e+01 4.22810741e-01 -2.24026821e-02 1.35172504e+00
2.00991243e+03 -3.84239161e+02 3.92803033e-01 -1.66872948e+02 3.00000000e+02 1.00000000e-02 5.95847414e-01 6.60730397e+00 1.53723555e+00 5.78205531e+01 3.19372261e-01 3.36386568e-02 2.06706947e+00 1.59061215e+00 5.36246900e+01 2.73576552e-01 8.09390883e-03 2.68889409e+00
1.78500248e+03 -3.82367546e+02 3.75771695e-01 -1.66060115e+02 3.00000000e+02 1.00000000e-02 5.97087404e-01 6.59586075e+00 1.10787095e+00 8.21064072e+01 4.24612719e-01 -1.70581758e-02 1.58980253e+00 2.02951063e+00 2.88414276e+01 2.14668345e-01 4.60122210e-02 2.49238055e+00
2.19002809e+03 -3.89486555e+02 4.17072381e-01 -1.69151862e+02 3.00000000e+02 1.00000000e-02 6.08320075e-01 6.60940704e+00 9.53278636e-01 9.13235643e+01 4.38799362e-01 2.77903374e-02 1.41247228e+00 2.19340456e+00 1.98899482e+01 1.45517358e-01 3.40430438e-03 3.15272401e+00
1.80149394e+03 -3.84893503e+02 3.97430578e-01 -1.67157124e+02 3.00000000e+02 1.00000000e-02 5.92386224e-01 6.60965211e+00 2.08651592e+00 2.38683918e+01 2.16055113e-01 -4.06257086e-03 2.82898548e+00 1.00469080e+00 8.37729197e+01 4.69493216e-01 -3.41342132e-02 1.19700092e+00
1.84182871e+03 -3.84202868e+02 4.18653447e-01 -1.66857186e+02 3.00000000e+02 1.00000000e-02 5.92235788e-01 6.60510474e+00 1.23099464e+00 7.39004470e+01 4.11946968e-01 1.13277909e-02 1.52165561e+00 1.87346326e+00 3.46811946e+01 2.41835115e-01 3.86561096e-02 2.08457514e+00
1.99348172e+03 -3.83803793e+02 4.16729305e-01 -1.66683869e+02 3.00000000e+02 1.00000000e-02 6.06864954e-01 6.62383623e+00 1.19470006e+00 9.48787855e+01 3.02516421e-01 1.55446596e-01 2.44996782e+00 2.09244182e+00 3.04529837e+01 1.46251579e-01 6.49618475e-02 3.16246874e+00
2.10789990e+03 -3.86976939e+02 4.50520154e-01 -1.68061949e+02 3.00000000e+02 1.00000000e-02 5.95897741e-01 6.64396123e+00 1.95702592e+00 3.88661168e+01 2.06865277e-01 1.02935535e-01 2.82074507e+00 1.22671124e+00 7.71508374e+01 3.73999111e-01 2.60051522e-02 1.79889627e+00
1.90350398e+03 -3.83175771e+02 3.54846293e-01 -1.66411123e+02 3.00000000e+02 1.00000000e-02 6.00252510e-01 6.63308981e+00 2.23762680e+00 1.59584222e+01 1.63526014e-01 2.10348471e-02 2.91645026e+00 8.89858313e-01 9.50319696e+01 4.57685171e-01 4.90309023e-02 1.31103760e+00
1.68494994e+03 -3.81899381e+02 3.43078385e-01 -1.65856794e+02 3.00000000e+02 1.00000000e-02 5.93444897e-01 6.66334836e+00 2.24307404e+00 1.59598393e+01 1.70978442e-01 1.78706713e-02 2.93371297e+00 8.87130961e-01 9.30525305e+01 4.78098165e-01 -2.09278395e-02 1.06856315e+00
1.90010925e+03 -3.84925021e+02 5.94162855e-01 -1.67170813e+02 3.00000000e+02 1.00000000e-02 5.99480953e-01 6.67046462e+00 2.21520580e+00 1.72044767e+01 1.20076550e-01 8.20787083e-03 3.50422503e+00 8.92172377e-01 9.14795831e+01 4.83430439e-01 1.96192039e-03 1.01948374e+00
1.97633119e+03 -3.86906709e+02 4.37016115e-01 -1.68031449e+02 3.00000000e+02 1.00000000e-02 5.90970729e-01 6.62901721e+00 8.58266754e-01 9.20262809e+01 4.86848927e-01 -5.42297558e-02 1.05140117e+00 2.23386053e+00 1.59602610e+01 1.62582800e-01 3.89511485e-02 2.86003859e+00
1.81814957e+03 -3.83548120e+02 3.57301252e-01 -1.66572832e+02 3.00000000e+02 1.00000000e-02 5.99595153e-01 6.61631036e+00 2.23101447e+00 1.59580599e+01 1.60760541e-01 6.05816256e-02 2.64315424e+00 8.74744128e-01 9.29253975e+01 4.82336379e-01 2.59585032e-02 1.00418859e+00
1.88770958e+03 -3.84142975e+02 3.56697038e-01 -1.66831174e+02 3.00000000e+02 1.00000000e-02 6.01098752e-01 6.62463965e+00 2.23039805e+00 1.59576491e+01 1.47778834e-01 5.86996991e-02 2.58215330e+00 8.94723601e-01 9.51566203e+01 4.46812421e-01 9.01147018e-03 1.32582867e+00
2.57963129e+03 -3.84526150e+02 6.20611741e-01 -1.66997585e+02 3.00000000e+02 1.00000000e-02 5.92814968e-01 6.61024378e+00 1.60823529e+00 5.48293237e+01 3.10384416e-01 1.60767327e-02 2.22435840e+00 1.54893875e+00 5.74155501e+01 3.16789598e-01 3.34491334e-02 2.04329733e+00
2.34006519e+03 -3.82896602e+02 3.60534208e-01 -1.66289881e+02 3.00000000e+02 1.00000000e-02 5.99642968e-01 6.62022806e+00 8.86783273e-01 9.31571441e+01 4.81414291e-01 3.51699703e-03 1.05141656e+00 2.23442453e+00 1.59591970e+01 1.60497089e-01 6.10963862e-02 2.62113080e+00
2.03289480e+03 -3.86112858e+02 3.98626039e-01 -1.67686683e+02 3.00000000e+02 1.00000000e-02 6.22829600e-01 6.69814501e+00 1.46746065e+00 7.80772780e+01 2.70466336e-01 1.49512751e-01 2.76855830e+00 1.87446766e+00 5.08845273e+01 1.16091969e-01 8.03417481e-02 3.82066755e+00
1.98741818e+03 -3.85968053e+02 3.91720306e-01 -1.67623796e+02 3.00000000e+02 1.00000000e-02 6.08304457e-01 6.69577879e+00 1.69998056e+00 6.24594711e+01 1.72994888e-01 1.81327266e-01 2.36103203e+00 1.68718997e+00 6.99353927e+01 1.28506507e-01 1.92533426e-01 3.32655829e+00
